,open,high,low,close,volume,date
316,128.843,132.559,118.0,123.93,32834819.67172,2021-02-11
317,123.93,141.326,121.165,136.885,41687048.86388,2021-02-12
318,136.885,138.934,125.118,133.299,23711387.09359,2021-02-13
319,133.299,139.234,128.603,136.061,24054396.02935,2021-02-14
320,136.061,139.601,118.8,129.86,21170396.7403,2021-02-15
321,129.86,133.495,126.375,130.185,12931271.39185,2021-02-16
322,130.185,175.915,126.997,165.751,50434164.12995,2021-02-17
323,165.749,200.0,163.018,195.371,67245394.01235,2021-02-18
324,195.371,347.197,195.111,333.216,214892705.32694,2021-02-19
325,333.216,334.999,223.414,253.469,53398777.8495,2021-02-20
326,253.469,309.0,250.33,294.914,34360659.87875,2021-02-21
327,294.914,295.861,218.877,267.4,24316679.79728,2021-02-22
328,267.4,269.289,186.0,231.596,30133598.98162,2021-02-23
329,231.596,280.961,213.129,254.277,30593896.06315,2021-02-24
330,254.277,265.206,231.428,234.856,16827478.50627,2021-02-25
331,234.583,239.171,209.57,221.697,15462355.19861,2021-02-26
332,221.697,237.551,219.281,225.653,8360681.09587,2021-02-27
333,225.653,229.188,195.044,210.417,13428837.36258,2021-02-28
334,210.417,260.343,209.618,255.114,24257737.62762,2021-03-01
335,255.114,265.089,227.346,239.826,15267375.76479,2021-03-02
336,239.826,254.988,236.591,240.747,8999977.35256,2021-03-03
337,240.747,249.853,225.61,229.629,8878747.81818,2021-03-04
338,229.435,231.825,215.61,225.29,10324546.12731,2021-03-05
339,225.259,232.25,219.45,226.349,8019424.2018,2021-03-06
340,226.349,243.869,225.0,239.928,5308748.07661,2021-03-07
341,239.928,242.857,229.034,240.444,4667949.52201,2021-03-08
342,240.444,297.359,235.867,293.329,20655518.79523,2021-03-09
343,293.329,295.675,264.742,278.102,16742517.34895,2021-03-10
344,278.102,315.271,272.449,290.084,16689562.57377,2021-03-11
345,290.084,290.612,245.269,263.255,17452666.10402,2021-03-12
346,263.255,283.984,255.56,276.365,8173313.36076,2021-03-13
347,276.365,276.66,263.0,263.001,5314527.81579,2021-03-14
348,263.001,267.368,249.145,254.203,5315464.43282,2021-03-15
349,254.203,259.591,240.511,258.315,3003209.43485,2021-03-16
350,258.315,271.913,248.44,270.0,3077058.95217,2021-03-17
351,270.0,277.612,257.295,261.399,4522836.17398,2021-03-18
352,261.399,269.181,254.987,263.151,2865454.70703,2021-03-19
353,263.151,274.521,261.647,264.299,2493619.12672,2021-03-20
354,264.299,268.046,257.087,264.817,6756661.90265,2021-03-21
355,264.817,277.156,253.251,254.921,6999325.06497,2021-03-22
356,254.921,262.913,252.186,255.536,3963068.53529,2021-03-23
357,255.536,268.642,240.336,248.621,5403697.40773,2021-03-24
358,248.621,249.817,224.645,234.121,6534038.53904,2021-03-25
359,234.121,255.102,234.095,255.065,4957410.35018,2021-03-26
360,255.065,276.332,249.71,269.553,9121853.19865,2021-03-27
361,269.553,281.239,261.174,268.6,8614911.36407,2021-03-28
362,268.6,277.999,264.395,275.297,3886364.93355,2021-03-29
363,275.297,311.876,271.326,311.668,7879300.4638,2021-03-30
364,311.668,317.625,285.29,302.627,14915780.61056,2021-03-31
365,302.627,339.14,300.8,335.084,26083492.81387,2021-04-01
366,335.084,357.369,326.0,338.584,22323135.08521,2021-04-02
367,338.584,349.185,315.568,322.038,19777583.7087,2021-04-03
368,322.038,352.572,315.694,349.347,24329072.70277,2021-04-04
369,349.347,380.083,335.203,367.669,27476415.6777,2021-04-05
370,367.756,412.0,364.001,403.154,47429581.97265,2021-04-06
371,403.154,414.043,356.35,375.2,67504217.60269,2021-04-07
372,375.2,422.278,371.475,418.4,67280373.95422,2021-04-08
373,418.4,453.8,404.664,453.8,77886767.4723,2021-04-09
374,453.8,487.271,449.833,471.216,123192251.31785,2021-04-10
375,471.216,528.8,458.103,525.792,91613382.86164,2021-04-11
376,525.792,637.695,515.48,596.704,165321859.05034,2021-04-12
377,596.704,602.367,530.875,551.05,168612765.42823,2021-04-13
378,551.05,591.401,514.746,549.089,160526600.16157,2021-04-14
379,549.089,557.197,533.732,542.199,52087265.59666,2021-04-15
380,542.199,548.238,488.0,509.075,125637813.79496,2021-04-16
381,509.075,548.4,506.401,515.175,99234866.91405,2021-04-17
382,515.175,520.376,427.774,482.199,112804339.752,2021-04-18
383,482.199,540.172,468.4,504.216,189436694.64486,2021-04-19
384,504.216,591.401,473.724,588.802,350745386.14035,2021-04-20
385,588.802,613.601,535.799,544.062,343064808.11279,2021-04-21
386,544.062,583.385,478.904,504.875,364571880.35741,2021-04-22
387,504.875,530.843,448.884,526.958,211693917.44494,2021-04-23
388,526.958,529.495,483.457,496.799,88821916.39134,2021-04-24
389,496.799,518.144,478.834,506.231,77626984.52893,2021-04-25
390,506.231,550.621,502.67,535.0,193300340.50186,2021-04-26
391,535.0,579.437,525.205,569.676,70232659.30308,2021-04-27
392,569.676,580.0,540.01,562.8,52952228.15473,2021-04-28
393,562.8,615.815,552.998,599.669,119059050.8982,2021-04-29
394,599.669,629.199,585.658,623.088,99023700.65691,2021-04-30
395,623.088,644.966,609.701,620.597,47996337.97022,2021-05-01
396,620.597,629.401,595.32,622.6,53250483.26427,2021-05-02
397,622.6,680.874,622.455,676.53,79792115.57602,2021-05-03
398,676.53,678.419,598.0,609.115,97216549.24903,2021-05-04
399,609.115,657.127,604.281,651.6,44865442.21837,2021-05-05
400,651.6,654.284,619.894,634.128,42283902.74358,2021-05-06
401,634.128,644.998,610.827,624.709,44271175.18024,2021-05-07
